_id,EVENT_UNIQUE_ID,PRIMARY_OFFENCE,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,LONG_WGS84,LAT_WGS84,geometry
12265,GO-20179011491,THEFT UNDER - BICYCLE,2017-08-01,2017,August,Tuesday,1,213,14,2017-08-01,2017,August,Tuesday,1,213,16,D13,"Apartment (Rooming House, Condo)",Apartment,FJ,12 SPEED,TO,12,GRN,350,STOLEN,-79.41230064183068,43.684435826973974,"{""coordinates"": [[-79.4123006419999, 43.6844358270001]], ""type"": ""MultiPoint""}"
12266,GO-20179011500,THEFT UNDER - BICYCLE,2017-07-30,2017,July,Sunday,30,211,13,2017-08-01,2017,August,Tuesday,1,213,17,D51,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,E-BREEZE,EL,30,TRQ,1499,STOLEN,-79.37009915354126,43.65616289526663,"{""coordinates"": [[-79.3700991539999, 43.6561628950001]], ""type"": ""MultiPoint""}"
12267,GO-20179011454,THEFT UNDER - BICYCLE,2017-07-31,2017,July,Monday,31,212,23,2017-08-01,2017,August,Tuesday,1,213,11,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GI,FCR2,TO,27,BLU,400,STOLEN,-79.42054552648352,43.646767390850265,"{""coordinates"": [[-79.420545526, 43.646767391]], ""type"": ""MultiPoint""}"
12268,GO-20179011499,THEFT UNDER - BICYCLE,2017-08-01,2017,August,Tuesday,1,213,9,2017-08-01,2017,August,Tuesday,1,213,21,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SU,NITRO XT,MT,21,BLK,150,STOLEN,-79.37154664952278,43.647648386751975,"{""coordinates"": [[-79.37154665, 43.6476483870001]], ""type"": ""MultiPoint""}"
12269,GO-20179011515,THEFT UNDER - BICYCLE,2017-07-25,2017,July,Tuesday,25,206,13,2017-08-01,2017,August,Tuesday,1,213,19,D52,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,CA,SUPERSIX,RC,10,WHI,2399.949951171875,STOLEN,-79.39127243692714,43.64341598251966,"{""coordinates"": [[-79.391272437, 43.6434159830001]], ""type"": ""MultiPoint""}"
12270,GO-20179011517,THEFT UNDER,2017-08-01,2017,August,Tuesday,1,213,8,2017-08-01,2017,August,Tuesday,1,213,20,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,DOLCE SPORT,RC,14,RED,1500,STOLEN,-79.38400924458271,43.65643079553456,"{""coordinates"": [[-79.384009245, 43.6564307960001]], ""type"": ""MultiPoint""}"
12271,GO-20179011454,THEFT UNDER - BICYCLE,2017-07-31,2017,July,Monday,31,212,23,2017-08-01,2017,August,Tuesday,1,213,11,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GI,FASTROAD SLR1,TO,20,BLU,850,STOLEN,-79.42054552648352,43.646767390850265,"{""coordinates"": [[-79.420545526, 43.646767391]], ""type"": ""MultiPoint""}"
12272,GO-20179011548,THEFT UNDER - BICYCLE,2017-08-01,2017,August,Tuesday,1,213,23,2017-08-02,2017,August,Wednesday,2,214,15,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,GI,GIANT ESCAPE 2,RG,24,LGR,600,STOLEN,-79.43326632224327,43.63774048384589,"{""coordinates"": [[-79.4332663219999, 43.637740484]], ""type"": ""MultiPoint""}"
12273,GO-20179011533,THEFT UNDER,2017-08-01,2017,August,Tuesday,1,213,17,2017-08-02,2017,August,Wednesday,2,214,9,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,None,RG,24,BLK,550,STOLEN,-79.37670375122408,43.66242040152412,"{""coordinates"": [[-79.376703751, 43.6624204020001]], ""type"": ""MultiPoint""}"
12274,GO-20179011497,THEFT UNDER - BICYCLE,2017-08-02,2017,August,Wednesday,2,214,6,2017-08-02,2017,August,Wednesday,2,214,6,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,CA,CAAD10,RC,11,WHI,1600,STOLEN,-79.40425553370058,43.70987318946416,"{""coordinates"": [[-79.404255534, 43.7098731890001]], ""type"": ""MultiPoint""}"
12275,GO-20179011570,THEFT UNDER - BICYCLE,2017-07-25,2017,July,Tuesday,25,206,20,2017-08-02,2017,August,Wednesday,2,214,18,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,DB,ODYSSEY,MT,21,RED,150,STOLEN,-79.38091294638609,43.656324795428525,"{""coordinates"": [[-79.380912946, 43.656324795]], ""type"": ""MultiPoint""}"
12276,GO-20179011507,THEFT UNDER,2017-07-30,2017,July,Sunday,30,211,10,2017-08-02,2017,August,Wednesday,2,214,9,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,CAMPIONE DEL MO,RC,10,BLU,200,STOLEN,-79.54411648001582,43.686791781268006,"{""coordinates"": [[-79.54411648, 43.6867917810001]], ""type"": ""MultiPoint""}"
12277,GO-20179011564,THEFT UNDER - BICYCLE,2017-08-02,2017,August,Wednesday,2,214,10,2017-08-02,2017,August,Wednesday,2,214,18,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,None,MT,7,RED,200,STOLEN,-79.42901012757179,43.6700650188389,"{""coordinates"": [[-79.429010128, 43.670065019]], ""type"": ""MultiPoint""}"
12278,GO-20179011527,THEFT UNDER,2017-07-31,2017,July,Monday,31,212,17,2017-08-02,2017,August,Wednesday,2,214,7,D51,"Apartment (Rooming House, Condo)",Apartment,OT,LAGER,RG,1,WHI,600,STOLEN,-79.37652884941119,43.65663189573562,"{""coordinates"": [[-79.376528849, 43.6566318960001]], ""type"": ""MultiPoint""}"
12279,GO-20179011498,THEFT UNDER - BICYCLE,2017-08-02,2017,August,Wednesday,2,214,7,2017-08-02,2017,August,Wednesday,2,214,8,D22,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TR,FX 7.2 2015,OT,24,BLK,700,STOLEN,-79.483074912105,43.63060930431278,"{""coordinates"": [[-79.4830749119999, 43.6306093040001]], ""type"": ""MultiPoint""}"
12280,GO-20171388487,B&E,2017-08-02,2017,August,Wednesday,2,214,1,2017-08-02,2017,August,Wednesday,2,214,14,D52,"Private Property Structure (Pool, Shed, Detached Garage)",Other,UNKNOWN MAKE,None,OT,1,None,,STOLEN,-79.39095774113456,43.65603479513854,"{""coordinates"": [[-79.390957741, 43.656034795]], ""type"": ""MultiPoint""}"
12281,GO-20179011554,THEFT UNDER,2017-07-31,2017,July,Monday,31,212,11,2017-08-02,2017,August,Wednesday,2,214,16,D32,Ttc Subway Station,Transit,TR,None,MT,21,BLU,300,STOLEN,-79.40671388896679,43.74414518291392,"{""coordinates"": [[-79.4067138889999, 43.7441451830001]], ""type"": ""MultiPoint""}"
12282,GO-20179011559,THEFT UNDER,2017-07-29,2017,July,Saturday,29,210,17,2017-08-02,2017,August,Wednesday,2,214,17,D14,"Apartment (Rooming House, Condo)",Apartment,NO,CITYGLIDE,RG,8,PLE,750,STOLEN,-79.41325473575948,43.670310615686816,"{""coordinates"": [[-79.4132547359999, 43.6703106160001]], ""type"": ""MultiPoint""}"
12283,GO-20179011581,THEFT UNDER,2017-08-02,2017,August,Wednesday,2,214,7,2017-08-02,2017,August,Wednesday,2,214,21,D52,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,GI,LIV ALIGHT,OT,8,BLK,750,STOLEN,-79.38616184430911,43.6577625968664,"{""coordinates"": [[-79.386161844, 43.657762597]], ""type"": ""MultiPoint""}"
12284,GO-20179011552,THEFT UNDER,2017-08-01,2017,August,Tuesday,1,213,9,2017-08-02,2017,August,Wednesday,2,214,15,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,ROAM,RG,21,ONG,900,STOLEN,-79.37998664389616,43.639972478510614,"{""coordinates"": [[-79.379986644, 43.6399724790001]], ""type"": ""MultiPoint""}"
12285,GO-20179011497,THEFT UNDER - BICYCLE,2017-08-02,2017,August,Wednesday,2,214,6,2017-08-02,2017,August,Wednesday,2,214,6,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,CA,CAAD10,RC,11,WHI,1700,STOLEN,-79.40425553370058,43.70987318946416,"{""coordinates"": [[-79.404255534, 43.7098731890001]], ""type"": ""MultiPoint""}"
12286,GO-20179011550,THEFT UNDER,2017-08-01,2017,August,Tuesday,1,213,0,2017-08-02,2017,August,Wednesday,2,214,16,D55,"Open Areas (Lakes, Parks, Rivers)",Outside,OT,THE NIGHT,OT,1,GRY,400,STOLEN,-79.32331462849449,43.679588004829995,"{""coordinates"": [[-79.3233146279999, 43.679588005]], ""type"": ""MultiPoint""}"
12287,GO-20179011594,THEFT UNDER - BICYCLE,2017-07-25,2017,July,Tuesday,25,206,22,2017-08-03,2017,August,Thursday,3,215,10,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CC,ORION 700C,OT,20,OTH,300,STOLEN,-79.38800834825952,43.669998709725085,"{""coordinates"": [[-79.388008348, 43.6699987100001]], ""type"": ""MultiPoint""}"
12288,GO-20179011590,THEFT UNDER - BICYCLE,2017-08-02,2017,August,Wednesday,2,214,16,2017-08-03,2017,August,Thursday,3,215,9,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,TR,7.2 FX,RG,24,RED,600,STOLEN,-79.41592022802527,43.639032080834816,"{""coordinates"": [[-79.4159202279999, 43.639032081]], ""type"": ""MultiPoint""}"
12289,GO-20179011593,THEFT UNDER,2017-07-28,2017,July,Friday,28,209,17,2017-08-03,2017,August,Thursday,3,215,9,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,SPARK 3.0,RC,18,BLK,1200,STOLEN,-79.40847743109553,43.65180179373149,"{""coordinates"": [[-79.4084774309999, 43.6518017940001]], ""type"": ""MultiPoint""}"
12290,GO-20179011639,THEFT UNDER - BICYCLE,2017-07-25,2017,July,Tuesday,25,206,7,2017-08-03,2017,August,Thursday,3,215,16,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RA,None,MT,27,GRY,450,STOLEN,-79.36896135124634,43.64394298304659,"{""coordinates"": [[-79.3689613509999, 43.643942983]], ""type"": ""MultiPoint""}"
12291,GO-20171396895,B&E W'INTENT,2017-07-30,2017,July,Sunday,30,211,1,2017-08-03,2017,August,Thursday,3,215,17,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UNKNOWN MAKE,None,MT,10,BLU,100,STOLEN,-79.56172439349064,43.678938251032676,"{""coordinates"": [[-79.561724393, 43.678938251]], ""type"": ""MultiPoint""}"
12292,GO-20171398969,THEFT UNDER - BICYCLE,2017-08-03,2017,August,Thursday,3,215,10,2017-08-03,2017,August,Thursday,3,215,20,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OTHER,JACK,FO,6,BLK,700,STOLEN,-79.42310332226018,43.6883195005666,"{""coordinates"": [[-79.423103322, 43.6883195010001]], ""type"": ""MultiPoint""}"
12293,GO-20179011603,THEFT UNDER - BICYCLE,2017-08-01,2017,August,Tuesday,1,213,15,2017-08-03,2017,August,Thursday,3,215,11,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,KO,HAHANNA,MT,18,RED,100,STOLEN,-79.3636799020322,43.71091076486447,"{""coordinates"": [[-79.3636799019999, 43.710910765]], ""type"": ""MultiPoint""}"
12294,GO-20179011632,THEFT UNDER,2017-07-26,2017,July,Wednesday,26,207,20,2017-08-03,2017,August,Thursday,3,215,14,D52,"Apartment (Rooming House, Condo)",Apartment,UK,FOCUS URBAN 8 B,MT,8,GRY,1300,STOLEN,-79.38821584666023,43.66681110594258,"{""coordinates"": [[-79.388215847, 43.6668111060001]], ""type"": ""MultiPoint""}"
12295,GO-20179011616,THEFT UNDER - BICYCLE,2017-08-02,2017,August,Wednesday,2,214,17,2017-08-03,2017,August,Thursday,3,215,13,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,GI,SEDONA,RG,21,PLE,500,STOLEN,-79.4457321202746,43.664895420310195,"{""coordinates"": [[-79.4457321199999, 43.66489542]], ""type"": ""MultiPoint""}"
12296,GO-20179011663,THEFT UNDER - BICYCLE,2017-08-03,2017,August,Thursday,3,215,12,2017-08-03,2017,August,Thursday,3,215,15,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,CA,HYBRID,OT,21,None,900,STOLEN,-79.39035214362231,43.65989239899617,"{""coordinates"": [[-79.390352144, 43.6598923990001]], ""type"": ""MultiPoint""}"
12297,GO-20179011714,THEFT UNDER - BICYCLE,2017-07-29,2017,July,Saturday,29,210,18,2017-08-04,2017,August,Friday,4,216,18,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,SC,None,MT,21,ONG,700,STOLEN,-79.38010344381829,43.64007457864675,"{""coordinates"": [[-79.380103444, 43.640074579]], ""type"": ""MultiPoint""}"
12298,GO-20179011724,THEFT UNDER - BICYCLE,2016-08-05,2016,August,Friday,5,218,2,2017-08-04,2017,August,Friday,4,216,22,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,CC,CCM KROSSPORT M,MT,21,WHI,499,STOLEN,-79.42798082400508,43.64057888586853,"{""coordinates"": [[-79.427980824, 43.6405788860001]], ""type"": ""MultiPoint""}"
12299,GO-20171398545,THEFT UNDER - BICYCLE,2017-07-26,2017,July,Wednesday,26,207,19,2017-08-04,2017,August,Friday,4,216,10,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SPECIALIZED,None,MT,10,WHI,400,STOLEN,-79.34401389073889,43.67072474235317,"{""coordinates"": [[-79.344013891, 43.6707247420001]], ""type"": ""MultiPoint""}"
12300,GO-20179011677,THEFT UNDER,2017-08-03,2017,August,Thursday,3,215,18,2017-08-04,2017,August,Friday,4,216,12,D54,Ttc Subway Station,Transit,RA,None,TO,10,None,,STOLEN,-79.33729871491835,43.680429186256305,"{""coordinates"": [[-79.337298715, 43.680429186]], ""type"": ""MultiPoint""}"
12301,GO-20179011678,THEFT UNDER - BICYCLE,2017-08-03,2017,August,Thursday,3,215,23,2017-08-04,2017,August,Friday,4,216,11,D14,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,LADIES 8200,MT,21,BLU,460,STOLEN,-79.42664522445027,43.648697293905116,"{""coordinates"": [[-79.426645224, 43.648697294]], ""type"": ""MultiPoint""}"
12302,GO-20179011700,THEFT UNDER - BICYCLE,2017-08-03,2017,August,Thursday,3,215,22,2017-08-04,2017,August,Friday,4,216,15,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,KH,FLITE100,OT,1,GRY,500,STOLEN,-79.42122383202745,43.67078221758187,"{""coordinates"": [[-79.421223832, 43.6707822180001]], ""type"": ""MultiPoint""}"
12303,GO-20179011705,THEFT UNDER - BICYCLE,2017-07-22,2017,July,Saturday,22,203,16,2017-08-04,2017,August,Friday,4,216,16,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TR,None,RG,18,BLK,1200,STOLEN,-79.42316242949855,43.68131501587821,"{""coordinates"": [[-79.4231624289999, 43.681315016]], ""type"": ""MultiPoint""}"
12304,GO-20171405487,THEFT UNDER - BICYCLE,2017-08-04,2017,August,Friday,4,216,20,2017-08-04,2017,August,Friday,4,216,20,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,KHS,FLIGHT,RG,1,GRY,500,STOLEN,-79.42122383202745,43.67078221758187,"{""coordinates"": [[-79.421223832, 43.6707822180001]], ""type"": ""MultiPoint""}"
12305,GO-20179011744,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,12,2017-08-05,2017,August,Saturday,5,217,15,D52,Universities / Colleges,Educational,CC,LUCERNE 700C CO,RG,20,BLK,500,STOLEN,-79.38948944568817,43.66522740433113,"{""coordinates"": [[-79.389489446, 43.6652274040001]], ""type"": ""MultiPoint""}"
12306,GO-20179011741,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,7,2017-08-05,2017,August,Saturday,5,217,13,D52,Schools During Un-Supervised Activity,Educational,RM,None,MT,21,BLU,600,STOLEN,-79.39843554007638,43.66410730546742,"{""coordinates"": [[-79.39843554, 43.6641073050001]], ""type"": ""MultiPoint""}"
12307,GO-20179011740,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,13,2017-08-05,2017,August,Saturday,5,217,13,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,TR,REMEDY 7,MT,14,BLK,2500,STOLEN,-79.30052594618232,43.67663822797606,"{""coordinates"": [[-79.3005259459999, 43.6766382280001]], ""type"": ""MultiPoint""}"
12308,GO-20179011734,THEFT UNDER - BICYCLE,2017-08-04,2017,August,Friday,4,216,0,2017-08-05,2017,August,Saturday,5,217,11,D52,Universities / Colleges,Educational,OT,UMBRIA II,RG,21,WHI,400,STOLEN,-79.5049295335538,43.61628346689614,"{""coordinates"": [[-79.504929534, 43.6162834670001]], ""type"": ""MultiPoint""}"
12309,GO-20179011732,THEFT UNDER - BICYCLE,2017-08-04,2017,August,Friday,4,216,11,2017-08-05,2017,August,Saturday,5,217,11,D32,"Apartment (Rooming House, Condo)",Apartment,OT,NEMESIS 650 SP,MT,9,WHI,700,STOLEN,-79.4128324572567,43.77553539412884,"{""coordinates"": [[-79.412832457, 43.775535394]], ""type"": ""MultiPoint""}"
12310,GO-20179011768,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,15,2017-08-05,2017,August,Saturday,5,217,21,D55,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,RA,None,RC,10,WHI,1000,STOLEN,-79.34161308535438,43.66482912754533,"{""coordinates"": [[-79.3416130849999, 43.6648291280001]], ""type"": ""MultiPoint""}"
12311,GO-20171409971,THEFT UNDER - BICYCLE,2017-08-03,2017,August,Thursday,3,215,19,2017-08-05,2017,August,Saturday,5,217,16,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,UNKNOWN MAKE,SKYLINE,MT,24,None,,STOLEN,-79.41120693468322,43.665137009461795,"{""coordinates"": [[-79.4112069349999, 43.665137009]], ""type"": ""MultiPoint""}"
12312,GO-20171409921,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,10,2017-08-05,2017,August,Saturday,5,217,16,D14,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,SPECIALIZED,ROCK HOPPER,MT,24,LBL,2500,STOLEN,-79.40062333312414,43.63883867807971,"{""coordinates"": [[-79.400623333, 43.6388386780001]], ""type"": ""MultiPoint""}"
12313,GO-20171411882,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,21,2017-08-05,2017,August,Saturday,5,217,21,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,NORCO,None,OT,21,WHI,600,STOLEN,-79.39338743865753,43.65275459204773,"{""coordinates"": [[-79.393387439, 43.6527545920001]], ""type"": ""MultiPoint""}"
12314,GO-20171409360,THEFT OF EBIKE UNDER $5000,2017-08-01,2017,August,Tuesday,1,213,5,2017-08-05,2017,August,Saturday,5,217,14,D41,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EMMO,None,EL,1,WHI,1500,STOLEN,-79.26376718166804,43.69644433092754,"{""coordinates"": [[-79.263767182, 43.6964443310001]], ""type"": ""MultiPoint""}"
12315,GO-20179011771,THEFT UNDER - BICYCLE,2017-08-04,2017,August,Friday,4,216,7,2017-08-05,2017,August,Saturday,5,217,22,D55,Go Station,Transit,SC,VOLARE 1200,OT,21,OTH,350,STOLEN,-79.3011073510694,43.685764727426566,"{""coordinates"": [[-79.301107351, 43.685764727]], ""type"": ""MultiPoint""}"
12316,GO-20179011749,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,0,2017-08-05,2017,August,Saturday,5,217,16,D13,"Apartment (Rooming House, Condo)",Apartment,OT,TRICROSS,RG,1,ONG,1000,STOLEN,-79.43802882387678,43.66971542092332,"{""coordinates"": [[-79.438028824, 43.669715421]], ""type"": ""MultiPoint""}"
12317,GO-20179011757,THEFT UNDER,2017-08-02,2017,August,Wednesday,2,214,14,2017-08-05,2017,August,Saturday,5,217,18,D32,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,SU,None,MT,21,GRY,,STOLEN,-79.41243927814328,43.76747578740376,"{""coordinates"": [[-79.412439278, 43.7674757870001]], ""type"": ""MultiPoint""}"
12318,GO-20179011762,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,15,2017-08-05,2017,August,Saturday,5,217,19,D13,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,UK,None,RG,10,BLK,,STOLEN,-79.44437008701637,43.696966565059675,"{""coordinates"": [[-79.444370087, 43.696966565]], ""type"": ""MultiPoint""}"
12319,GO-20171415282,THEFT OVER - BICYCLE,2017-08-06,2017,August,Sunday,6,218,13,2017-08-06,2017,August,Sunday,6,218,13,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,TREK,MADONE 5.1,RC,0,WHI,7000,STOLEN,-79.48120021595713,43.62296488969196,"{""coordinates"": [[-79.4812002159999, 43.62296489]], ""type"": ""MultiPoint""}"
12320,GO-20179011802,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,15,2017-08-06,2017,August,Sunday,6,218,14,D14,"Open Areas (Lakes, Parks, Rivers)",Outside,SC,PROTOCOL 1.0,MT,24,RED,514,STOLEN,-79.40191963269203,43.63586447516248,"{""coordinates"": [[-79.401919633, 43.6358644750001]], ""type"": ""MultiPoint""}"
12321,GO-20179011801,THEFT UNDER - BICYCLE,2017-08-02,2017,August,Wednesday,2,214,17,2017-08-06,2017,August,Sunday,6,218,14,D55,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,TR,None,TO,21,GRY,800,STOLEN,-79.33011100801492,43.66892786592393,"{""coordinates"": [[-79.330111008, 43.6689278660001]], ""type"": ""MultiPoint""}"
12322,GO-20179011809,THEFT UNDER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,18,2017-08-06,2017,August,Sunday,6,218,16,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,CAMELEON,MT,27,SIL,400,STOLEN,-79.34635023810098,43.74784590748684,"{""coordinates"": [[-79.346350238, 43.747845907]], ""type"": ""MultiPoint""}"
12323,GO-20171417317,THEFT OVER - BICYCLE,2017-07-19,2017,July,Wednesday,19,200,12,2017-08-06,2017,August,Sunday,6,218,20,D14,"Apartment (Rooming House, Condo)",Apartment,ARGON 18,PRO GALLEUM,RC,18,BLKWHI,6000,STOLEN,-79.40306583230996,43.644868584994335,"{""coordinates"": [[-79.403065832, 43.644868585]], ""type"": ""MultiPoint""}"
12324,GO-20179011814,THEFT UNDER - BICYCLE,2017-08-06,2017,August,Sunday,6,218,12,2017-08-06,2017,August,Sunday,6,218,19,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,CC,CCM ORION,RG,21,BLU,338.989990234375,STOLEN,-79.38658383949804,43.63884767737777,"{""coordinates"": [[-79.386583839, 43.6388476770001]], ""type"": ""MultiPoint""}"
12325,GO-20171414185,THEFT OVER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,23,2017-08-06,2017,August,Sunday,6,218,9,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GIANT,RAPID,MT,1,WHI,1100,STOLEN,-79.41961781105198,43.719919768293984,"{""coordinates"": [[-79.419617811, 43.7199197680001]], ""type"": ""MultiPoint""}"
12326,GO-20171414185,THEFT OVER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,23,2017-08-06,2017,August,Sunday,6,218,9,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,CANNONDALE,DI2,RC,1,OTH,7000,STOLEN,-79.41961781105198,43.719919768293984,"{""coordinates"": [[-79.419617811, 43.7199197680001]], ""type"": ""MultiPoint""}"
12327,GO-20179011811,THEFT UNDER - BICYCLE,2017-07-21,2017,July,Friday,21,202,18,2017-08-06,2017,August,Sunday,6,218,18,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,None,RG,1,DGR,400,STOLEN,-79.40511503162696,43.64301848382727,"{""coordinates"": [[-79.405115032, 43.643018484]], ""type"": ""MultiPoint""}"
12328,GO-20179011820,THEFT UNDER,2017-08-06,2017,August,Sunday,6,218,19,2017-08-06,2017,August,Sunday,6,218,23,D51,"Apartment (Rooming House, Condo)",Apartment,OT,None,TO,1,BLK,350,STOLEN,-79.375842053157,43.66649560559932,"{""coordinates"": [[-79.375842053, 43.6664956060001]], ""type"": ""MultiPoint""}"
12329,GO-20171414185,THEFT OVER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,23,2017-08-06,2017,August,Sunday,6,218,9,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,SPECIALIZED,RUBY,RC,1,OTH,3000,STOLEN,-79.41961781105198,43.719919768293984,"{""coordinates"": [[-79.419617811, 43.7199197680001]], ""type"": ""MultiPoint""}"
12330,GO-20171414185,THEFT OVER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,23,2017-08-06,2017,August,Sunday,6,218,9,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,LOOK,None,RC,1,OTH,6000,STOLEN,-79.41961781105198,43.719919768293984,"{""coordinates"": [[-79.419617811, 43.7199197680001]], ""type"": ""MultiPoint""}"
12331,GO-20171416787,THEFT OVER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,23,2017-08-06,2017,August,Sunday,6,218,18,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OTHER,None,MT,12,WHI,1000,STOLEN,-79.4862854885326,43.68629259492098,"{""coordinates"": [[-79.486285489, 43.686292595]], ""type"": ""MultiPoint""}"
12332,GO-20171416787,THEFT OVER - BICYCLE,2017-08-05,2017,August,Saturday,5,217,23,2017-08-06,2017,August,Sunday,6,218,18,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SPECIALIZED,None,RC,18,WHI,5000,STOLEN,-79.4862854885326,43.68629259492098,"{""coordinates"": [[-79.486285489, 43.686292595]], ""type"": ""MultiPoint""}"
12333,GO-20171420221,THEFT UNDER - BICYCLE,2017-08-06,2017,August,Sunday,6,218,16,2017-08-07,2017,August,Monday,7,219,10,D33,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SUPERCYCLE,None,OT,24,BLU,300,STOLEN,-79.32769646504434,43.76067751929052,"{""coordinates"": [[-79.327696465, 43.7606775190001]], ""type"": ""MultiPoint""}"
12334,GO-20179011871,THEFT UNDER - BICYCLE,2017-08-06,2017,August,Sunday,6,218,0,2017-08-07,2017,August,Monday,7,219,20,D51,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,MA,SAUSALITO,TO,21,SIL,600,STOLEN,-79.38308454717834,43.66304470214845,"{""coordinates"": [[-79.383084547, 43.663044702]], ""type"": ""MultiPoint""}"
12335,GO-20171421497,B&E,2017-08-04,2017,August,Friday,4,216,10,2017-08-07,2017,August,Monday,7,219,15,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OTHER,EAST SIDE COMPL,MT,21,None,,STOLEN,-79.37106575137635,43.651601190704824,"{""coordinates"": [[-79.3710657509999, 43.651601191]], ""type"": ""MultiPoint""}"
